№,Река,Область,Место старта,Место финиша,Дистанция,Год,Кол-во дней,"От Москвы, км",Особенность,Стоянки,Координаты стоянок,Фотоотчёт,Координаты старта,Координаты финиша
55,Великая,Псковская,Холюны,Дорбыши,51,2022,4,540,майские,много,,,"56.423211, 29.166602","56.431642, 28.819277"
56,Плюсса,Псковская,Ляды,Чернёво,63,2022,5,800,"красивые берега, дикая, ур. Бычий ручей",мало,,,"58.618288, 28.791163","58.650166, 28.252807"
57,Пола,Новгородская,Усть-Марёво,Заря,77,2016,5,490,майские,мало,,,"57.408966, 31.963665","57.644651, 32.289831"
58,Мста,Новгородская,Великий Порог,Ёгла,11,2023,2,460,покататься,мало,"58.272627, 34.062708",,"58.272627, 34.062708","58.323512, 33.962190"
59,Киржач,Владимирская,Илейкино,Киржач,46,2020,2,130,красивые берега,много,,,"56.068567, 38.873073","55.902815, 39.061183"
60,Пра,Рязанская,Заводская Слобода,Деулино,45,2018,3,220,майские,много,,,"55.026551, 40.282619","54.826202, 40.322835"
61,Лух - Клязьма,Нижегородская,Фролищи,Ильина Гора,57,2021,3,370,"майские, при впадении в Клязьму в это время года разлив около 6 км без суши",много,,,"56.427071, 42.637542","56.213514, 42.401386"
62,Видлица,Карелия,Нялма,Верхняя Видлица,68,2021,3,1000,"майские, 2 к.с., заброска с Петрозаводска, выброска с Лодейного Поля",мало,,,"61.586042, 32.598697","61.195170, 32.465626"
63,Ладожские шхеры,Карелия,Вятиккя,Вятиккя,40,2021,5,930,Кольцевой маршрут,много,,,"61.286564, 30.089548","61.286564, 30.089548"
64,Шуя,Карелия,Ехкиля,Игнойла,64,2021,4,1100,3 ходовых и 1 днёвка,много,,,"62.231163, 32.465318","61.882271, 32.673278"
65,Суна,Карелия,Поросозеро,Линдозеро,50,2022,4,1100,1 день катались на пороге,много,,,"62.718594, 32.697102","62.437217, 33.259267"
66,Граничная,Тверская,Дмитровка,Комсомольский,60,2099,4,420,,,,,"57.445067, 33.488487","57.657794, 33.866126"
67,Шегра-Тверца,Тверская,Шитовичи,Митино,62,2099,4,310,дорога вдоль всего маршрута,,,,"57.358751, 34.580729","57.098141, 34.972538"
68,Поведь - Осуга - Тверца,Тверская,Сидорково,Тверецкий,82,2099,4,320,"майские, низкая вода летом",,,,"57.173858, 34.183840","57.269758, 34.814643"
69,Либья - Шлина,Тверская,Овинчище,Комсомольский,66,2099,4,440,майские,,,,"57.676383, 33.170800","57.657871, 33.866209"
135,Угра,Калужская,Пахомово,Звизжи,10,2023,1,230,Детский сплав с кемпингом в Никола-Ленивце,мало,,,"54.691666, 35.614545","54.744649, 35.629242"
147,Зуша,Орловская,Подъяковлево,Мужиково,16,2020,2,360,высокие берега,мало,,,"53.088048, 37.190030","53.020072, 37.134303"
